
ABC123,123.347.672-11,10/06/22,10/06/22,"R$ 103,89",10,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultrices nibh id rutrum rhoncus. Donec varius diam et purus ultrices, non ultricies lacus egestas. Praesent molestie id libero lobortis porta. Vivamus maximus ex elit, non lobortis eros dignissim non. Phasellus vitae justo accumsan, ullamcorper lorem vel, sagittis ipsum. Cras sed maximus ex. Maecenas sed euismod justo. Suspendisse efficitur dolor eget pulvinar molestie.
Nunc elit nisl, maximus in neque at, cursus elementum augue. Praesent et placerat risus. Suspendisse quis elit pellentesque, faucibus est ac, molestie nunc. Nullam ligula felis, consequat a tortor in, laoreet porttitor dolor. In congue justo vel nunc fermentum, id eleifend sapien auctor. Aenean aliquam gravida mattis. Mauris quam orci, facilisis sagittis nunc sed, hendrerit vulputate erat. Nullam et eleifend erat.
Duis placerat eu nisi id finibus. Mauris sed vulputate odio. Aliquam justo tortor, accumsan eget pulvinar quis, cursus ut velit. Nam a massa eget velit sollicitudin consectetur ac eu urna. Donec ornare, velit id faucibus vestibulum, ipsum elit viverra neque, eget varius libero ipsum sit amet mauris. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. In venenatis tellus id tincidunt tristique. Proin sed velit felis."
ABD124,138.345.678.13,10/06/22,10/06/22,"R$ 107,89",10,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultrices nibh id rutrum rhoncus. Donec varius diam et purus ultrices, non ultricies lacus egestas. Praesent molestie id libero lobortis porta. Vivamus maximus ex elit, non lobortis eros dignissim non. Phasellus vitae justo accumsan, ullamcorper lorem vel, sagittis ipsum. Cras sed maximus ex. Maecenas sed euismod justo. Suspendisse efficitur dolor eget pulvinar molestie.
Nunc elit nisl, maximus in neque at, cursus elementum augue. Praesent et placerat risus. Suspendisse quis elit pellentesque, faucibus est ac, molestie nunc. Nullam ligula felis, consequat a tortor in, laoreet porttitor dolor. In congue justo vel nunc fermentum, id eleifend sapien auctor. Aenean aliquam gravida mattis. Mauris quam orci, facilisis sagittis nunc sed, hendrerit vulputate erat. Nullam et eleifend erat.
Duis placerat eu nisi id finibus. Mauris sed vulputate odio. Aliquam justo tortor, accumsan eget pulvinar quis, cursus ut velit. Nam a massa eget velit sollicitudin consectetur ac eu urna. Donec ornare, velit id faucibus vestibulum, ipsum elit viverra neque, eget varius libero ipsum sit amet mauris. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. In venenatis tellus id tincidunt tristique. Proin sed velit felis."
ABE125,323.347.672-22,10/06/22,10/06/22,"R$ 115,99",10,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultrices nibh id rutrum rhoncus. Donec varius diam et purus ultrices, non ultricies lacus egestas. Praesent molestie id libero lobortis porta. Vivamus maximus ex elit, non lobortis eros dignissim non. Phasellus vitae justo accumsan, ullamcorper lorem vel, sagittis ipsum. Cras sed maximus ex. Maecenas sed euismod justo. Suspendisse efficitur dolor eget pulvinar molestie.
Nunc elit nisl, maximus in neque at, cursus elementum augue. Praesent et placerat risus. Suspendisse quis elit pellentesque, faucibus est ac, molestie nunc. Nullam ligula felis, consequat a tortor in, laoreet porttitor dolor. In congue justo vel nunc fermentum, id eleifend sapien auctor. Aenean aliquam gravida mattis. Mauris quam orci, facilisis sagittis nunc sed, hendrerit vulputate erat. Nullam et eleifend erat.
Duis placerat eu nisi id finibus. Mauris sed vulputate odio. Aliquam justo tortor, accumsan eget pulvinar quis, cursus ut velit. Nam a massa eget velit sollicitudin consectetur ac eu urna. Donec ornare, velit id faucibus vestibulum, ipsum elit viverra neque, eget varius libero ipsum sit amet mauris. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. In venenatis tellus id tincidunt tristique. Proin sed velit felis."
ABF126,123.347.672-12,18/06/22,10/06/22,"R$ 124,09",10,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultrices nibh id rutrum rhoncus. Donec varius diam et purus ultrices, non ultricies lacus egestas. Praesent molestie id libero lobortis porta. Vivamus maximus ex elit, non lobortis eros dignissim non. Phasellus vitae justo accumsan, ullamcorper lorem vel, sagittis ipsum. Cras sed maximus ex. Maecenas sed euismod justo. Suspendisse efficitur dolor eget pulvinar molestie.
Nunc elit nisl, maximus in neque at, cursus elementum augue. Praesent et placerat risus. Suspendisse quis elit pellentesque, faucibus est ac, molestie nunc. Nullam ligula felis, consequat a tortor in, laoreet porttitor dolor. In congue justo vel nunc fermentum, id eleifend sapien auctor. Aenean aliquam gravida mattis. Mauris quam orci, facilisis sagittis nunc sed, hendrerit vulputate erat. Nullam et eleifend erat.
Duis placerat eu nisi id finibus. Mauris sed vulputate odio. Aliquam justo tortor, accumsan eget pulvinar quis, cursus ut velit. Nam a massa eget velit sollicitudin consectetur ac eu urna. Donec ornare, velit id faucibus vestibulum, ipsum elit viverra neque, eget varius libero ipsum sit amet mauris. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. In venenatis tellus id tincidunt tristique. Proin sed velit felis."
ACC127,138.345.678.14,18/06/22,10/06/22,"R$ 132,19",10,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultrices nibh id rutrum rhoncus. Donec varius diam et purus ultrices, non ultricies lacus egestas. Praesent molestie id libero lobortis porta. Vivamus maximus ex elit, non lobortis eros dignissim non. Phasellus vitae justo accumsan, ullamcorper lorem vel, sagittis ipsum. Cras sed maximus ex. Maecenas sed euismod justo. Suspendisse efficitur dolor eget pulvinar molestie.
Nunc elit nisl, maximus in neque at, cursus elementum augue. Praesent et placerat risus. Suspendisse quis elit pellentesque, faucibus est ac, molestie nunc. Nullam ligula felis, consequat a tortor in, laoreet porttitor dolor. In congue justo vel nunc fermentum, id eleifend sapien auctor. Aenean aliquam gravida mattis. Mauris quam orci, facilisis sagittis nunc sed, hendrerit vulputate erat. Nullam et eleifend erat.
Duis placerat eu nisi id finibus. Mauris sed vulputate odio. Aliquam justo tortor, accumsan eget pulvinar quis, cursus ut velit. Nam a massa eget velit sollicitudin consectetur ac eu urna. Donec ornare, velit id faucibus vestibulum, ipsum elit viverra neque, eget varius libero ipsum sit amet mauris. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. In venenatis tellus id tincidunt tristique. Proin sed velit felis."
BBC128,323.347.672-23,18/06/22,10/06/22,"R$ 140,29",10,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultrices nibh id rutrum rhoncus. Donec varius diam et purus ultrices, non ultricies lacus egestas. Praesent molestie id libero lobortis porta. Vivamus maximus ex elit, non lobortis eros dignissim non. Phasellus vitae justo accumsan, ullamcorper lorem vel, sagittis ipsum. Cras sed maximus ex. Maecenas sed euismod justo. Suspendisse efficitur dolor eget pulvinar molestie.
Nunc elit nisl, maximus in neque at, cursus elementum augue. Praesent et placerat risus. Suspendisse quis elit pellentesque, faucibus est ac, molestie nunc. Nullam ligula felis, consequat a tortor in, laoreet porttitor dolor. In congue justo vel nunc fermentum, id eleifend sapien auctor. Aenean aliquam gravida mattis. Mauris quam orci, facilisis sagittis nunc sed, hendrerit vulputate erat. Nullam et eleifend erat.
Duis placerat eu nisi id finibus. Mauris sed vulputate odio. Aliquam justo tortor, accumsan eget pulvinar quis, cursus ut velit. Nam a massa eget velit sollicitudin consectetur ac eu urna. Donec ornare, velit id faucibus vestibulum, ipsum elit viverra neque, eget varius libero ipsum sit amet mauris. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. In venenatis tellus id tincidunt tristique. Proin sed velit felis."
ADF129,123.347.672-13,20/06/22,10/06/22,"R$ 148,39",10,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultrices nibh id rutrum rhoncus. Donec varius diam et purus ultrices, non ultricies lacus egestas. Praesent molestie id libero lobortis porta. Vivamus maximus ex elit, non lobortis eros dignissim non. Phasellus vitae justo accumsan, ullamcorper lorem vel, sagittis ipsum. Cras sed maximus ex. Maecenas sed euismod justo. Suspendisse efficitur dolor eget pulvinar molestie.
Nunc elit nisl, maximus in neque at, cursus elementum augue. Praesent et placerat risus. Suspendisse quis elit pellentesque, faucibus est ac, molestie nunc. Nullam ligula felis, consequat a tortor in, laoreet porttitor dolor. In congue justo vel nunc fermentum, id eleifend sapien auctor. Aenean aliquam gravida mattis. Mauris quam orci, facilisis sagittis nunc sed, hendrerit vulputate erat. Nullam et eleifend erat.
Duis placerat eu nisi id finibus. Mauris sed vulputate odio. Aliquam justo tortor, accumsan eget pulvinar quis, cursus ut velit. Nam a massa eget velit sollicitudin consectetur ac eu urna. Donec ornare, velit id faucibus vestibulum, ipsum elit viverra neque, eget varius libero ipsum sit amet mauris. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. In venenatis tellus id tincidunt tristique. Proin sed velit felis."
ABC130,138.345.678.15,20/06/22,10/06/22,"R$ 156,49",10,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultrices nibh id rutrum rhoncus. Donec varius diam et purus ultrices, non ultricies lacus egestas. Praesent molestie id libero lobortis porta. Vivamus maximus ex elit, non lobortis eros dignissim non. Phasellus vitae justo accumsan, ullamcorper lorem vel, sagittis ipsum. Cras sed maximus ex. Maecenas sed euismod justo. Suspendisse efficitur dolor eget pulvinar molestie.
Nunc elit nisl, maximus in neque at, cursus elementum augue. Praesent et placerat risus. Suspendisse quis elit pellentesque, faucibus est ac, molestie nunc. Nullam ligula felis, consequat a tortor in, laoreet porttitor dolor. In congue justo vel nunc fermentum, id eleifend sapien auctor. Aenean aliquam gravida mattis. Mauris quam orci, facilisis sagittis nunc sed, hendrerit vulputate erat. Nullam et eleifend erat.
Duis placerat eu nisi id finibus. Mauris sed vulputate odio. Aliquam justo tortor, accumsan eget pulvinar quis, cursus ut velit. Nam a massa eget velit sollicitudin consectetur ac eu urna. Donec ornare, velit id faucibus vestibulum, ipsum elit viverra neque, eget varius libero ipsum sit amet mauris. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. In venenatis tellus id tincidunt tristique. Proin sed velit felis."
AGC131,323.347.672-24,26/06/22,10/06/22,"R$ 164,59",10,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultrices nibh id rutrum rhoncus. Donec varius diam et purus ultrices, non ultricies lacus egestas. Praesent molestie id libero lobortis porta. Vivamus maximus ex elit, non lobortis eros dignissim non. Phasellus vitae justo accumsan, ullamcorper lorem vel, sagittis ipsum. Cras sed maximus ex. Maecenas sed euismod justo. Suspendisse efficitur dolor eget pulvinar molestie.
Nunc elit nisl, maximus in neque at, cursus elementum augue. Praesent et placerat risus. Suspendisse quis elit pellentesque, faucibus est ac, molestie nunc. Nullam ligula felis, consequat a tortor in, laoreet porttitor dolor. In congue justo vel nunc fermentum, id eleifend sapien auctor. Aenean aliquam gravida mattis. Mauris quam orci, facilisis sagittis nunc sed, hendrerit vulputate erat. Nullam et eleifend erat.
Duis placerat eu nisi id finibus. Mauris sed vulputate odio. Aliquam justo tortor, accumsan eget pulvinar quis, cursus ut velit. Nam a massa eget velit sollicitudin consectetur ac eu urna. Donec ornare, velit id faucibus vestibulum, ipsum elit viverra neque, eget varius libero ipsum sit amet mauris. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. In venenatis tellus id tincidunt tristique. Proin sed velit felis."
ABG132,123.347.672-14,26/06/22,10/06/22,"R$ 172,69",10,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultrices nibh id rutrum rhoncus. Donec varius diam et purus ultrices, non ultricies lacus egestas. Praesent molestie id libero lobortis porta. Vivamus maximus ex elit, non lobortis eros dignissim non. Phasellus vitae justo accumsan, ullamcorper lorem vel, sagittis ipsum. Cras sed maximus ex. Maecenas sed euismod justo. Suspendisse efficitur dolor eget pulvinar molestie.
Nunc elit nisl, maximus in neque at, cursus elementum augue. Praesent et placerat risus. Suspendisse quis elit pellentesque, faucibus est ac, molestie nunc. Nullam ligula felis, consequat a tortor in, laoreet porttitor dolor. In congue justo vel nunc fermentum, id eleifend sapien auctor. Aenean aliquam gravida mattis. Mauris quam orci, facilisis sagittis nunc sed, hendrerit vulputate erat. Nullam et eleifend erat.
Duis placerat eu nisi id finibus. Mauris sed vulputate odio. Aliquam justo tortor, accumsan eget pulvinar quis, cursus ut velit. Nam a massa eget velit sollicitudin consectetur ac eu urna. Donec ornare, velit id faucibus vestibulum, ipsum elit viverra neque, eget varius libero ipsum sit amet mauris. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. In venenatis tellus id tincidunt tristique. Proin sed velit felis."
